InvoiceNo,CustomerID,ProductID,Category,Country,InvoiceDate,Quantity,UnitPrice,DiscountPercent,LineTotal,PaymentMethod,CustomerAge,MembershipLevel
INV10000,1102,242,Books,France,2024-11-19,-1,6.44,10,-5.8,Bank Transfer,22,Platinum
INV10001,1435,328,Electronics,France,2024-04-04,9,9.96,5,85.16,Cash,19,Silver
INV10002,1860,308,Home,UK,2024-12-06,4,13.49,5,51.26,PayPal,47,Gold
INV10003,1270,378,Home,Spain,2024-05-17,0,98.55,5,0.0,Cash,34,Silver
INV10004,1106,351,Books,Germany,2024-04-16,-1,62.64,0,-62.64,Bank Transfer,46,Gold
INV10005,1071,351,Sports,Germany,2024-11-01,5,82.68,20,330.72,Card,59,Platinum
INV10006,1700,216,Home,Spain,2024-11-16,9,5.93,0,53.37,Cash,21,Silver
INV10007,1020,332,Fashion,Spain,2024-09-16,9,78.53,5,671.43,Cash,26,Standard
INV10008,1614,347,Fashion,Germany,2024-11-26,9,7.98,10,64.64,Card,38,Gold
INV10009,1121,220,Home,UK,2024-06-30,0,33.78,5,0.0,Cash,60,Standard
INV10010,1466,257,Sports,France,2024-01-30,-1,77.05,5,-73.2,Bank Transfer,29,Standard
INV10011,1214,358,Books,France,2024-10-24,1,29.04,0,29.04,Card,29,Platinum
INV10012,1330,309,Fashion,Germany,2024-09-02,5,33.73,0,168.65,Bank Transfer,67,Standard
INV10013,1458,338,Home,Germany,2024-02-10,3,13.96,5,39.79,Bank Transfer,21,Gold
INV10014,1087,379,Fashion,Spain,2024-03-13,-1,19.98,0,-19.98,Bank Transfer,45,Standard
INV10015,1372,342,Electronics,France,2024-06-24,9,4.73,5,40.44,PayPal,26,Standard
INV10016,1099,334,Electronics,Germany,2024-05-03,1,49.31,5,46.84,Card,57,Gold
INV10017,1871,227,Fashion,Germany,2024-02-26,1,19.12,10,17.21,PayPal,68,Standard
INV10018,1663,250,Books,Spain,2024-12-05,-1,6.94,15,-5.9,PayPal,49,Platinum
INV10019,1130,385,Books,France,2024-08-03,4,51.03,5,193.91,Cash,30,Gold
INV10020,1661,204,Sports,UK,2024-01-22,-1,91.89,15,-78.11,Card,51,Platinum
INV10021,1308,204,Books,Spain,2024-05-27,1,61.34,0,61.34,Cash,36,Standard
INV10022,1769,293,Home,Spain,2024-07-05,-1,58.96,20,-47.17,PayPal,31,Silver
INV10023,1343,295,Sports,Spain,2024-12-02,2,66.86,10,120.35,Cash,22,Platinum
INV10024,1491,207,Electronics,UK,2024-11-05,4,56.54,15,192.24,Bank Transfer,44,Platinum
INV10025,1413,263,Home,Spain,2024-12-08,9,65.68,20,472.9,PayPal,45,Standard
INV10026,1805,337,Electronics,UK,2024-10-13,5,30.25,10,136.12,Bank Transfer,43,Silver
INV10027,1385,237,Books,Germany,2024-07-30,0,36.95,10,0.0,Card,27,Gold
INV10028,1191,310,Electronics,Germany,2024-10-04,0,90.08,20,0.0,Cash,41,Silver
INV10029,1955,311,Home,UK,2024-03-12,-1,61.5,15,-52.28,PayPal,34,Gold
INV10030,1276,280,Home,Germany,2024-02-23,4,49.04,15,166.74,Card,69,Standard
INV10031,1160,335,Home,Spain,2024-02-15,5,41.66,5,197.88,Bank Transfer,33,Silver
INV10032,1459,303,Books,Germany,2024-05-08,0,81.62,5,0.0,Cash,34,Standard
INV10033,1313,352,Books,Spain,2024-06-09,-2,49.93,15,-84.88,Cash,18,Platinum
INV10034,1021,272,Home,Spain,2024-07-22,0,74.37,20,0.0,PayPal,38,Silver
INV10035,1252,393,Sports,Germany,2024-10-01,1,70.66,0,70.66,Cash,64,Gold
INV10036,1747,377,Books,UK,2024-07-06,3,11.07,10,29.89,Cash,66,Platinum
INV10037,1856,394,Books,UK,2024-12-07,6,29.89,15,152.44,Bank Transfer,60,Gold
INV10038,1560,248,Fashion,France,2024-08-27,8,21.23,15,144.36,Bank Transfer,39,Platinum
INV10039,1474,235,Books,Spain,2024-05-16,0,48.89,10,0.0,Bank Transfer,22,Gold
INV10040,1058,325,Sports,Germany,2024-09-23,1,65.89,10,59.3,Card,53,Gold
INV10041,1510,267,Fashion,Germany,2024-10-01,7,30.98,10,195.17,Card,38,Standard
INV10042,1681,277,Fashion,Spain,2024-03-05,3,26.73,0,80.19,Cash,26,Platinum
INV10043,1475,304,Sports,France,2024-09-19,0,81.37,10,0.0,Card,44,Standard
